Two Uvalde officers had chance to shoot gunman sheriff’s deputy says, 8 hours ago, Weeks after one of the deadliest school shootings in US history , https://www.theguardian.com/us-news/2022/jun/18/texas-school-shooting-uvalde-officers-gunman 
Uvalde police agree to cooperate with probe of response to school shooting Texas lawmaker says, 1 day ago, , https://www.nbcnews.com/news/us-news/uvalde-police-cooperation-probe-response-school-shooting-still-uncerta-rcna34094 
Uvalde was a mental health desert before a school shooting ..., 2 days ago, After the May 24 school shooting mental health help is now pouring , https://www.texastribune.org/2022/06/16/uvalde-shooting-mental-health/ 
After Uvalde school shooting Texas police wonder how much ..., 5 days ago, After Uvalde school shooting Texas police wonder how much training is , https://www.texastribune.org/2022/06/13/uvalde-school-shooting-texas-police-training/ 
Texas school shooting: Uvalde mayor says 'city will evaluate release' of records after investigation, 4 days ago, Miah Cerrillo 11 testified before the House Oversight Committee about the school shooting in Uvalde Texas, https://www.foxnews.com/us/texas-uvalde-school-shooting-mayor-evaluate-release-records-investigation 
Official records in Texas school shooting could be blocked by legal loophole, 5 days ago, How did law enforcement officers communicate with one another and the victims during the attack? What happened when dozens of officers gathered, https://www.inquirer.com/news/nation-world/uvalde-texas-school-shooting-records-public-information-law-20220613.html 
Texas school districts created their own police departments after ..., 3 days ago, In the wake of Texas' latest and deadliest school shooting at Robb Elementary School in Uvalde where a gunman killed 19 children and two, https://www.texastribune.org/2022/06/15/uvalde-school-officers-texas-shootings/ 
Texas school shooting: Uvalde school police chief defends mass shooting response, 1 week ago, Amid widespread criticism a Texas school district police chief has defended the actions of officers responding to the Uvalde mass shooting, https://www.bbc.com/news/world-us-canada-61685119 
The Uvalde school shooting victims: What we know, 3 weeks ago, 21 lives lost: Uvalde victims were a cross-section of a small mostly Latino town in South Texas · The 21 victims of the Uvalde school shooting, https://www.texastribune.org/2022/05/25/uvalde-school-shooting-victims/ 
‘That smile I will never forget’: the victims of the Texas school shooting, 3 weeks ago, 'That smile I will never forget': the victims of the Texas school shooting · Uziyah Garcia eight · Xavier Lopez 10 · Amerie Jo Garza 10 · Jose, https://www.theguardian.com/us-news/2022/may/25/uvalde-texas-school-shooting-victims 
What we know about the victims at Robb Elementary School, 2 weeks ago, More details are emerging about the 19 children and two teachers who were killed after a gunman opened fire inside a classroom at Robb, https://www.cnn.com/2022/05/25/us/victims-uvalde-texas-school-shooting/index.html 
Thursday's updates on Uvalde Texas school shooting victims shooter, 3 weeks ago, Names of Texas school shooting victims continue to emerge · Nevaeh Bravo 10 · Eliahana Cruz Torres 10 · Jose Flores 10 · Amerie Jo Garza 10, https://www.statesman.com/story/news/2022/05/26/live-updates-uvalde-texas-school-shooting-victims-shooter-salvador-ramos-aftermath/9930459002/ 
Texas school shooting live updates: Onlookers urged police to go in, 3 weeks ago, What do we know about the Texas school shooting victims? , https://www.usatoday.com/story/news/nation/2022/05/26/uvalde-texas-school-shooting-victims-suspect-updates/9938494002/ 
Uvalde school shooting: A timeline of the massacre and police ..., 3 weeks ago, What we know minute by minute about how the Uvalde shooting and , https://www.texastribune.org/2022/05/27/uvalde-texas-school-shooting-timeline/ 
Here are the biggest shifts in the official account of the Uvalde ..., 2 weeks ago, The official narrative of the mass shooting at Robb Elementary School in Uvalde Texas has changed drastically since news of an active, https://www.npr.org/2022/06/03/1102689126/uvalde-shooting-police-response 
The victims of the Texas school shooting in Uvalde, 3 weeks ago, Hearts 'shattered': Here are the victims of the Texas school shooting · Alexandria Aniyah Rubio 10 · Alithia Ramirez 10 · Amerie Jo Garza 10, https://www.latimes.com/california/story/2022-05-25/victims-of-uvalde-texas-school-shooting 
Uvalde school shooting ends with 19 children 2 adults dead, 3 weeks ago, One of the two adult victims was identified as a schoolteacher Eva Mireles by her aunt and by a parent of a student on social media, https://www.texastribune.org/2022/05/24/uvalde-texas-school-shooting/ 
Texas school shooting: Friend recalls faith of slain teacher and her heartbroken husband, 1 day ago, ACI Prensa CNA's Spanish-language sister news agency spoke with Elia Gómez a 77-year-old resident of Uvalde and close friend of the family, https://www.catholicnewsagency.com/news/251567/texas-school-shooting-teacher-husband 
Texas police chief reinstated after allegations he failed to act on ..., 13 hours ago, DONNA Texas — Ten days after he was fired for allegedly failing to respond to a school shooting threat Gilbert Guerrero has learned that, https://www.police1.com/chiefs-sheriffs/articles/texas-police-chief-reinstated-after-allegations-he-failed-to-act-on-school-shooting-threat-W60rHY49ISd2skGk/ 
19 children 2 teachers killed in shooting at Robb Elementary School in Uvalde Texas, 3 weeks ago, Third grade student Annabell Guadalupe Rodriguez 10; and fourth graders Uziyah Garcia; Xavier Lopez 10; and Amerie Jo Garza 9; were among the, https://www.nbcnews.com/news/us-news/police-respond-active-shooter-texas-elementary-school-rcna30339 
The victims of the Texas school shooting in Uvalde, 3 weeks ago, Hearts 'shattered': Here are the victims of the Texas school shooting · Alexandria Aniyah Rubio 10 · Alithia Ramirez 10 · Amerie Jo Garza 10, https://www.latimes.com/california/story/2022-05-25/victims-of-uvalde-texas-school-shooting 
What we know about Uvalde Texas school shooting 2 days later, 3 weeks ago, The gunman then began to shoot at the school from the parking lot before he gained , https://www.npr.org/2022/05/26/1101417320/uvalde-texas-school-shooting-beto-o-rourke-greg-abbott 
Police response under mounting criticism as Biden plans visit, 3 weeks ago, Most of the gunfire that erupted at a Texas elementary school Tuesday , https://www.washingtonpost.com/nation/2022/05/26/texas-school-shooting-uvalde-victims-live-updates/ 
Uvalde school shooting ends with 19 children 2 adults dead, 3 weeks ago, One of the two adult victims was identified as a schoolteacher Eva Mireles by her aunt and by a parent of a student on social media, https://www.texastribune.org/2022/05/24/uvalde-texas-school-shooting/ 
Texas school shooting: Friend recalls faith of slain teacher and her heartbroken husband, 1 day ago, ACI Prensa CNA's Spanish-language sister news agency spoke with Elia Gómez a 77-year-old resident of Uvalde and close friend of the family, https://www.catholicnewsagency.com/news/251567/texas-school-shooting-teacher-husband 
Texas police chief reinstated after allegations he failed to act on ..., 13 hours ago, DONNA Texas — Ten days after he was fired for allegedly failing to respond to a school shooting threat Gilbert Guerrero has learned that, https://www.police1.com/chiefs-sheriffs/articles/texas-police-chief-reinstated-after-allegations-he-failed-to-act-on-school-shooting-threat-W60rHY49ISd2skGk/ 
19 children 2 teachers killed in shooting at Robb Elementary School in Uvalde Texas, 3 weeks ago, Third grade student Annabell Guadalupe Rodriguez 10; and fourth graders Uziyah Garcia; Xavier Lopez 10; and Amerie Jo Garza 9; were among the, https://www.nbcnews.com/news/us-news/police-respond-active-shooter-texas-elementary-school-rcna30339 
Why do school shootings keep happening in the United States?, 1 day ago, , https://news.vcu.edu/article/2022/06/why-do-school-shootings-keep-happening-in-the-united-states 
May 25 Texas shooting news, 3 weeks ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday the Texas Department, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/index.html 
Families in Texas Grieve Loss of 19 Children in Shooting, 3 weeks ago, He was eager to share the news with his three brothers but Xavier's grandparents said he decided to stay at Robb Elementary School following an, https://www.nytimes.com/live/2022/05/25/us/shooting-robb-elementary-uvalde 
Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers, 3 weeks ago, Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers ; Irma Garcia, https://www.nbcdfw.com/news/local/texas-news/uvalde-texas-school-shooting-names-of-victims-begin-to-release/2976993/ 
Correction: Texas-School-Shooting-Victims story, 3 weeks ago, Correction: Texas-School-Shooting-Victims story, https://apnews.com/article/texas-school-shootings-victims-a197fa6758a87d4b496dfca4d707ba47 
An attendee helped save lives in an Alabama church shooting, 1 day ago, , https://www.npr.org/2022/06/16/1105772475/alabama-church-shooting 
These are the victims of the Uvalde school shooting in Texas, 3 weeks ago, What we know about the victims of the school shooting in Texas · Eva Mireles 44 · Xavier Lopez 10 · Jose Flores 10 · Irma Garcia 48 · Nevaeh, https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-victims/ 
Cedar Rapids police justify officers in school following Texas school ..., 1 day ago, CEDAR RAPIDS Iowa (KCRG) - Cedar Rapids Police used the school shooting in Texas to justify the need for police officers at McKinley and, https://www.kcrg.com/2022/06/17/crpd-justify-officers-middle-school-with-mass-shooting-studies-show-sros-dont-stop-shootings/ 
She survived the Santa Fe shooting then visited Uvalde to comfort ..., 6 days ago, Wounded in the Santa Fe High School shooting Flo Rice has found an , https://www.texastribune.org/2022/06/12/uvalde-shooting-santa-fe-survivor-teacher/ 
TIMELINE: Texas elementary school shooting minute by minute, 2 weeks ago, In the hours and days following the fatal shooting of 19 children and their two teachers at Robb Elementary School in Uvalde Texas, https://apnews.com/article/texas-school-shooting-timeline-6069b0cf01e5f732ef55f9fd0b7109d7 
Who Are the Victims of the Texas School Shooting?, 2 weeks ago, Police who responded to the mass shooting at the Robb Elementary School in Uvalde Texas waited approximately an hour to enter the, https://www.wsj.com/articles/uvalde-texas-school-shooting-victims-11653438058 
